,CustomerAge,PurchaseAmount,EmailOpens,Clicks,WebsiteVisits,Target,CustomerId
105,59,294.31218190514016,15,6,26,1.0,105
106,93,389.24062643111034,10,6,39,1.0,106
107,56,315.5010206045108,17,7,30,1.0,107
108,67,397.3546560778,9,14,14,0.0,108
109,74,612.9707449742884,11,8,36,0.0,109
110,61,533.5361932300482,10,5,34,0.0,110
111,54,345.8643577328476,12,7,22,1.0,111
112,75,493.2299038703499,5,7,37,0.0,112
113,79,549.6685093464057,14,7,30,0.0,113
114,53,176.7253297571699,14,6,24,0.0,114
115,58,232.68279484641909,12,6,32,1.0,115
116,74,425.9236111557561,10,5,39,1.0,116
117,63,551.5150819626558,13,7,36,1.0,117
118,66,127.76489876634841,15,9,28,0.0,118
119,72,792.1688935962167,9,11,12,1.0,119
120,62,332.9042354123746,17,7,26,0.0,120
121,65,336.0232589046443,11,4,37,1.0,121
122,79,453.4349745414882,8,16,9,1.0,122
123,41,195.43478674892708,15,8,27,1.0,123
124,70,697.8712153757137,7,11,12,1.0,124
125,96,628.1529407255873,9,4,35,0.0,125
126,45,312.6859298742451,20,5,29,1.0,126
127,49,576.6861404291935,12,8,26,0.0,127
128,75,563.6608315631668,13,6,41,0.0,128
129,49,345.715052463396,12,6,25,1.0,129
130,51,640.272827771805,6,12,11,0.0,130
131,75,373.14224779352685,12,3,36,0.0,131
132,54,583.7744700241507,5,11,16,0.0,132
133,79,188.44270513906687,11,8,36,0.0,133
134,65,501.1691028972612,15,5,35,1.0,134
135,90,185.88407579722698,10,6,38,1.0,135
136,47,510.3716239906283,14,6,26,0.0,136
137,61,714.2239954356731,6,16,12,0.0,137
138,73,426.16787090254513,9,13,8,1.0,138
139,62,318.59476270754215,9,6,34,1.0,139
140,57,345.8420854935637,11,9,26,0.0,140
141,68,402.36482439691594,14,8,28,0.0,141
142,41,250.8032942535784,12,11,30,0.0,142
143,66,600.3183382696433,14,13,10,1.0,143
144,77,305.91566588235645,9,4,37,1.0,144
145,62,137.1904533248197,17,8,25,0.0,145
146,62,161.23849941763538,13,6,39,0.0,146
147,61,209.56401838003,11,5,37,1.0,147
148,80,548.2028430803689,13,5,38,0.0,148
149,67,781.1013430678352,6,13,13,0.0,149
150,57,319.21343764779743,11,6,26,1.0,150
151,78,411.215137190472,8,5,43,0.0,151
152,58,381.9556028459788,6,12,12,1.0,152
153,67,580.0053628132769,6,11,9,1.0,153
154,77,230.88090198341865,10,6,34,1.0,154
155,67,459.4950222874267,11,3,37,1.0,155
156,73,567.2967471146184,17,6,26,1.0,156
157,59,205.89228425848938,17,7,23,1.0,157
158,53,684.63622184798,4,11,9,0.0,158
159,61,121.51618718097879,16,12,21,0.0,159
160,65,343.99364824759425,11,8,41,0.0,160
161,82,214.26676883694944,9,4,35,0.0,161
162,86,332.7129663818927,11,5,36,0.0,162
163,56,395.03309062305294,10,13,10,1.0,163
164,64,292.9194451602149,16,10,25,0.0,164
165,59,314.58617499268985,12,9,27,1.0,165
166,63,257.28965016265,13,11,25,1.0,166
167,73,431.7447552418333,19,8,28,0.0,167
168,62,760.2375051168658,8,10,14,0.0,168
169,47,306.29173331158347,18,7,27,0.0,169
170,56,404.2481466727605,5,14,17,0.0,170
171,66,292.65415151603185,10,7,36,1.0,171
172,74,578.4604035132209,14,3,34,1.0,172
173,68,590.1034644023725,7,16,12,0.0,173
174,77,382.95540583040906,7,6,34,1.0,174
175,83,233.3219935393741,12,10,39,0.0,175
176,75,380.36638107865315,7,5,37,1.0,176
177,79,446.46108164511946,4,14,10,0.0,177
178,52,572.1499326481411,16,10,28,0.0,178
179,100,593.1943536137082,10,10,35,1.0,179
180,71,351.11224549581704,9,12,14,1.0,180
181,46,363.16020973800903,16,9,26,0.0,181
182,44,220.27858930218932,15,7,26,0.0,182
183,79,361.2807738669024,12,7,36,1.0,183
184,72,589.6555191432137,10,5,36,1.0,184
185,62,368.482114745387,15,7,26,0.0,185
186,79,323.76549375167235,14,7,38,1.0,186
187,64,411.86529351144856,9,12,12,0.0,187
188,66,552.1591811091797,8,7,40,0.0,188
189,61,466.0138275285301,12,6,37,1.0,189
190,60,539.3520756088533,8,13,11,0.0,190
191,73,416.56733339285927,9,12,11,0.0,191
192,77,323.78072333699436,8,6,36,0.0,192
193,42,580.323279101874,14,11,29,1.0,193
194,76,414.8440694268588,12,4,36,0.0,194
195,78,356.342647809194,13,6,40,1.0,195
196,56,565.4968007506787,7,12,14,0.0,196
197,56,491.70436789080827,15,7,23,0.0,197
198,55,276.6533788864057,15,6,27,0.0,198
199,43,197.56599925697833,14,8,26,0.0,199
200,68,596.6186979861334,7,14,9,0.0,200
201,60,435.9500107057229,15,8,26,0.0,201
202,85,509.2318214496893,8,9,40,0.0,202
203,65,542.1739194754035,13,7,24,1.0,203
204,51,491.87531913766543,5,12,15,1.0,204
205,65,196.923899152157,8,4,35,0.0,205
206,70,779.5908059791617,8,12,13,1.0,206
207,80,373.15584444436286,11,7,40,0.0,207
208,70,615.3961797398343,8,11,14,0.0,208
209,80,436.4896083328632,15,6,27,0.0,209
210,80,427.7917172635897,8,5,36,1.0,210
211,86,260.5761895707723,11,5,35,1.0,211
212,74,680.0200945569093,8,15,14,1.0,212
213,71,703.838467409,7,10,15,1.0,213
214,51,380.9580371485455,14,9,27,0.0,214
215,82,399.3949686865724,10,7,39,1.0,215
216,57,365.8297097327128,8,17,11,0.0,216
217,72,201.13631413489406,9,8,32,0.0,217
218,60,476.38677432612906,6,12,10,1.0,218
219,55,262.3146162035227,14,5,23,0.0,219
220,98,627.2916609720029,11,4,40,0.0,220
221,41,493.97514379728057,14,9,29,0.0,221
222,61,433.36290467693937,13,6,31,1.0,222
223,51,563.6475636186265,6,14,12,1.0,223
224,50,192.01009005605914,16,6,29,1.0,224
225,85,639.4437693702992,9,4,32,0.0,225
226,65,493.7699421377029,5,14,16,1.0,226
227,64,212.39354519914997,11,3,35,1.0,227
228,67,401.96145890071557,11,9,34,1.0,228
229,81,588.2590256904108,8,4,37,0.0,229
230,47,544.7725908708915,13,6,24,0.0,230
231,57,115.37329886765916,12,8,27,1.0,231
232,55,544.2849149281858,13,5,30,0.0,232
233,68,293.02726657493065,10,6,35,0.0,233
234,76,129.09645834452732,17,9,23,0.0,234
235,71,725.4172324778085,5,11,12,1.0,235
236,61,583.294710434222,8,7,34,1.0,236
237,66,602.1532291227516,8,15,15,1.0,237
238,48,391.4725410752156,17,11,24,1.0,238
239,63,508.4289335844955,13,8,26,1.0,239
240,57,695.2916808280371,8,12,12,0.0,240
241,63,746.151681986925,10,16,16,1.0,241
242,60,380.8462493223847,13,10,30,0.0,242
243,63,584.1470754390763,13,8,31,1.0,243
244,42,598.1119471573359,15,13,29,0.0,244
245,71,217.10685889932995,10,8,38,0.0,245
246,70,576.2764421815198,12,9,36,0.0,246
247,58,554.9129062968086,11,13,15,0.0,247
248,82,499.9075057669177,6,13,10,0.0,248
249,69,610.4054318425303,8,15,13,1.0,249
250,42,137.42312305838345,16,10,26,1.0,250
251,74,558.1659481958691,7,10,12,1.0,251
252,96,586.7363793130667,11,6,37,1.0,252
253,75,414.5961429080947,12,12,11,1.0,253
254,51,518.9310484370183,6,12,11,1.0,254
255,60,770.345634980289,5,12,10,1.0,255
256,67,319.9962805247917,18,8,23,0.0,256
257,57,485.60013984287514,8,14,11,0.0,257
258,59,325.8629575804554,17,8,29,0.0,258
259,62,364.5318555936026,15,10,30,1.0,259
260,65,469.67575862441976,11,7,38,0.0,260
261,64,702.3394724491982,4,15,16,1.0,261
262,51,531.530080824514,6,14,14,1.0,262
263,64,560.5656581941687,9,6,36,1.0,263
264,72,421.5231240625195,10,6,31,0.0,264
265,62,325.8554500803091,11,6,35,0.0,265
266,91,482.39590577851294,11,10,36,1.0,266
267,61,511.6839048243108,8,7,36,0.0,267
268,50,383.44399805844887,16,9,29,0.0,268
269,56,137.74133683601445,13,7,25,0.0,269
270,79,393.2426088288042,9,14,10,0.0,270
271,51,449.7958832362118,5,12,9,0.0,271
272,86,298.48654691623165,11,6,38,0.0,272
273,75,489.9761921209666,14,5,44,1.0,273
274,45,118.99084422007996,13,9,33,1.0,274
275,79,530.2840707542648,10,4,35,0.0,275
276,56,240.01781265539725,17,9,26,0.0,276
277,48,261.9107046458902,12,11,26,0.0,277
278,55,368.6758156925229,14,11,28,1.0,278
279,71,265.8035444600892,9,9,36,0.0,279
280,66,743.3909436520084,14,13,8,0.0,280
281,81,201.83070187001698,8,6,34,1.0,281
282,80,527.7473575275218,6,14,11,1.0,282
283,62,576.2169120328961,12,5,34,0.0,283
284,86,611.7635082664056,8,13,17,1.0,284
285,41,253.2414627628904,19,6,27,0.0,285
286,53,316.17250181046575,16,8,27,1.0,286
287,70,656.2802463678322,5,13,15,1.0,287
288,77,636.8977642483108,8,4,39,0.0,288
289,68,597.6379720059224,6,6,39,0.0,289
290,52,277.7920761073646,14,6,25,0.0,290
291,50,599.1169608510502,14,9,24,1.0,291
292,69,161.71728513021856,7,7,38,0.0,292
293,83,173.5385803461234,7,5,36,0.0,293
294,78,563.681852433885,13,8,36,1.0,294
295,68,257.7367165481955,13,5,34,0.0,295
296,83,189.776941514158,11,7,41,1.0,296
297,58,226.20255588588608,17,9,28,0.0,297
298,73,518.7890754506216,3,14,10,1.0,298
299,71,667.9774725123684,8,13,15,0.0,299
300,56,615.9244080100907,7,13,16,0.0,300
301,59,426.43439660460604,9,10,10,1.0,301
302,72,556.6025195692864,13,13,13,1.0,302
303,81,613.8449116452987,6,6,34,1.0,303
304,64,709.3538107220413,7,13,9,0.0,304
305,56,268.36299456757877,15,7,23,0.0,305
306,87,641.3096350642911,10,4,32,1.0,306
307,69,507.22399621321415,8,4,44,0.0,307
308,60,140.60018427672307,14,7,31,0.0,308
309,62,327.22874951143297,8,13,9,0.0,309
310,52,192.5198950149147,17,5,25,0.0,310
311,85,516.6493753445719,12,6,36,1.0,311
312,73,400.0320736627897,4,15,13,1.0,312
313,73,560.6285169123285,7,11,11,1.0,313
314,78,355.69745888860757,10,15,10,0.0,314
315,55,561.2342173367956,16,7,24,0.0,315
316,61,278.5407006559481,18,6,29,1.0,316
317,71,604.9847077147091,9,9,37,1.0,317
318,58,572.9890645361668,14,7,27,1.0,318
319,53,113.00303718370358,13,7,28,0.0,319
320,75,387.42624172737874,7,4,34,0.0,320
321,70,322.0814672963775,6,15,12,1.0,321
322,66,605.2594554884239,10,6,37,1.0,322
323,95,414.01969691994213,10,6,34,1.0,323
324,44,146.72256622226342,13,10,28,1.0,324
325,62,214.03559685551778,9,4,40,0.0,325
326,66,297.9194220014422,13,6,25,0.0,326
327,72,770.7147545077158,11,13,17,1.0,327
328,61,449.5254842683596,12,10,28,0.0,328
329,71,735.1332444326749,9,14,16,0.0,329
330,74,339.56375670659,10,3,36,1.0,330
331,66,181.17471277949917,11,9,34,1.0,331
332,55,587.4156422301629,15,7,23,1.0,332
333,58,318.4147654245611,13,13,14,1.0,333
334,64,574.3493100097336,13,8,26,0.0,334
335,63,490.65193768608094,5,14,16,0.0,335
336,66,164.94429846072194,10,5,36,0.0,336
337,61,647.687043545009,7,13,9,1.0,337
338,79,640.4647489753636,8,6,39,0.0,338
339,49,583.1566041904204,16,7,23,0.0,339
340,56,388.85913548918506,7,15,17,0.0,340
341,67,398.8114249724159,8,13,8,0.0,341
342,77,437.1140681636335,7,10,40,0.0,342
343,69,472.279364949879,10,9,37,1.0,343
344,70,522.3147776962742,11,7,38,0.0,344
345,57,198.7146766313523,12,7,28,0.0,345
346,61,629.913472514573,13,3,38,1.0,346
347,61,472.98223558172657,10,5,43,0.0,347
348,57,725.0529902465719,7,13,14,0.0,348
349,52,374.63220048924416,22,7,26,1.0,349
350,68,512.9956553190425,6,10,12,0.0,350
351,69,588.819624231548,17,5,25,1.0,351
352,83,445.23947170171965,10,4,35,0.0,352
353,63,734.7680555715976,5,10,10,1.0,353
354,64,777.113274219482,10,13,13,1.0,354
355,54,640.9237672342431,5,14,13,1.0,355
356,64,578.9799524741507,5,12,10,1.0,356
357,52,111.7203169462188,16,9,26,1.0,357
358,78,179.60962396211295,9,5,40,1.0,358
359,66,258.41709586504703,12,9,36,1.0,359
360,70,401.1441316094377,7,17,13,1.0,360
361,80,434.8318096479242,6,13,5,1.0,361
362,53,259.4179724718538,13,12,22,1.0,362
363,59,286.43209183985687,13,8,24,1.0,363
364,71,516.0634681337494,8,12,6,0.0,364
365,50,158.4445058434472,14,6,28,1.0,365
366,77,180.7573466568632,8,7,34,1.0,366
367,55,440.23278004578145,17,7,28,0.0,367
368,75,423.2940641731081,7,8,35,0.0,368
369,67,377.6306590878586,12,6,34,0.0,369
370,65,620.8755711724926,5,13,9,0.0,370
371,59,515.5629095297348,16,11,21,1.0,371
372,89,369.56952546694026,10,8,38,1.0,372
373,74,624.1485378754699,6,11,15,1.0,373
374,86,777.2503896792277,5,12,18,1.0,374
375,47,521.4160029721647,14,6,30,0.0,375
376,63,318.7403971461806,16,8,28,0.0,376
377,66,625.911250529224,8,13,13,0.0,377
378,96,246.7647517388105,8,5,40,0.0,378
379,56,584.655870598594,5,12,11,0.0,379
380,56,790.850862657837,6,16,9,0.0,380
381,69,413.9744064492359,12,10,40,0.0,381
382,61,614.5427666031721,10,5,47,0.0,382
383,49,309.59411104659773,16,8,32,0.0,383
384,47,599.4339653204693,14,10,29,1.0,384
385,56,393.8178172615033,12,7,34,0.0,385
386,78,180.71180717560793,9,4,41,1.0,386
387,83,597.5098503787801,8,14,10,1.0,387
388,64,244.54062088300236,16,10,23,1.0,388
389,49,125.91584779758841,17,10,29,0.0,389
390,46,512.2181193003851,16,9,30,1.0,390
391,59,245.1075221205704,12,6,31,1.0,391
392,41,500.3087914827843,16,8,29,0.0,392
393,93,301.22661564837483,10,6,37,0.0,393
394,86,255.2199133981494,8,7,35,1.0,394
395,50,587.2284313111695,16,6,28,0.0,395
396,61,337.2062105999596,11,4,37,0.0,396
397,68,404.6743436071486,21,7,26,1.0,397
398,53,408.8909314790911,15,10,28,1.0,398
399,77,584.6320062650159,9,11,14,1.0,399
400,51,758.2009143253952,7,13,17,0.0,400
401,69,490.4761249697656,9,11,39,0.0,401
402,55,307.8291720114158,11,9,25,0.0,402
403,65,732.5663884168943,9,13,9,0.0,403
404,70,248.72082056682257,10,5,39,0.0,404
405,71,576.6760112291046,6,12,11,0.0,405
406,54,775.7696822524406,8,12,13,0.0,406
407,63,616.4448386414022,3,13,13,0.0,407
408,76,560.3145407326894,8,9,37,1.0,408
409,70,630.2447555171445,7,11,11,0.0,409
410,72,721.2917231335663,10,12,12,1.0,410
411,43,572.7990611241694,15,10,29,0.0,411
412,61,293.73164649104103,7,4,34,1.0,412
413,77,393.13392981579227,13,13,12,1.0,413
414,58,347.15546766294455,18,9,26,1.0,414
415,47,453.9125891438658,13,8,30,0.0,415
416,80,421.32371405928586,9,12,9,1.0,416
417,66,312.00971071078186,7,13,11,1.0,417
418,76,478.0382067599856,5,14,11,0.0,418
419,65,784.7410743792163,12,13,8,1.0,419
420,75,450.53405569686487,16,7,25,1.0,420
421,92,356.6494675311997,12,3,39,1.0,421
422,62,404.36228769995176,4,14,10,0.0,422
423,64,284.483940139826,14,5,28,0.0,423
424,81,243.2213223176115,13,5,35,0.0,424
425,88,212.0898524433462,11,6,39,0.0,425
426,55,754.3037625605514,6,14,17,0.0,426
427,81,648.848665803982,12,8,36,1.0,427
428,65,190.41607540193723,15,7,27,1.0,428
429,51,336.71605385035707,7,11,15,1.0,429
430,43,271.568242501644,14,5,31,1.0,430
431,61,386.2129985730935,12,8,35,1.0,431
432,62,410.3624110671687,9,11,13,0.0,432
433,62,257.6982067812936,15,8,25,0.0,433
434,80,408.42666048891226,4,14,12,0.0,434
435,65,689.3876785319012,7,12,14,1.0,435
436,81,659.1631921911578,3,10,8,0.0,436
437,61,471.12624272288105,8,6,34,1.0,437
438,41,299.73674996881033,21,6,29,0.0,438
439,74,605.4300612439756,9,6,38,0.0,439
440,68,785.0709453521598,8,12,17,1.0,440
441,54,195.08326318645186,15,9,25,0.0,441
442,41,219.27619429182025,21,8,27,0.0,442
443,54,367.55920372018113,15,12,30,1.0,443
444,41,154.71277894830018,17,8,24,0.0,444
445,81,373.85971542332527,11,6,38,0.0,445
446,68,595.077719741078,8,18,8,1.0,446
447,55,565.8160498572933,9,12,15,1.0,447
448,59,472.14520570823277,8,14,13,1.0,448
449,54,575.7984449778314,7,16,14,1.0,449
450,64,779.8124675868355,4,16,14,1.0,450
451,74,410.9485281027743,5,16,12,0.0,451
452,55,630.8673656130618,4,12,9,1.0,452
453,70,331.26438013646543,6,15,11,0.0,453
454,59,342.5440381959031,8,16,15,1.0,454
455,47,380.3958298695567,12,10,27,1.0,455
456,63,361.4201983606952,8,13,11,1.0,456
457,54,320.9499263291601,8,13,17,1.0,457
458,59,394.04136884753086,9,15,12,1.0,458
459,63,436.77609378979145,10,6,34,1.0,459
460,94,504.6370677142769,7,4,37,1.0,460
461,65,409.2144964292762,4,13,13,0.0,461
462,58,637.4471242320055,9,11,13,1.0,462
463,77,249.41340223862238,8,5,36,1.0,463
464,63,610.594139049316,10,12,14,1.0,464
465,72,361.86024314894144,8,5,38,1.0,465
466,81,480.3617595734722,8,6,36,0.0,466
467,62,597.5758487148312,16,7,29,0.0,467
468,69,619.5303129639553,11,5,36,1.0,468
469,49,112.09806133969077,14,8,23,1.0,469
470,72,593.8649945375298,10,3,36,1.0,470
471,61,192.58048963563562,12,4,38,1.0,471
472,41,576.992827218324,15,10,28,0.0,472
473,88,298.0945827588455,10,9,35,1.0,473
474,71,297.19706690152276,15,8,28,1.0,474
475,72,204.90272053610664,9,4,36,0.0,475
476,70,365.01365158116573,8,12,11,1.0,476
477,58,466.1028769623666,12,7,25,0.0,477
478,80,572.7227955166629,14,13,24,1.0,478
479,76,609.2667625276117,7,11,15,1.0,479
480,63,660.7665076081374,9,14,10,0.0,480
481,55,683.3651748526052,5,12,9,1.0,481
482,51,438.7789945309414,11,11,14,1.0,482
483,57,132.16251915090533,12,9,26,0.0,483
484,67,160.9176445203926,8,8,36,0.0,484
485,51,481.8181486474691,8,12,12,1.0,485
486,68,278.3174718176159,10,6,42,0.0,486
487,64,190.53568527410096,12,9,41,1.0,487
488,81,397.9688633218967,4,14,12,0.0,488
489,63,171.00446015129444,18,8,33,1.0,489
490,74,608.2904065025115,12,6,34,1.0,490
491,89,228.7309345949928,7,7,35,0.0,491
492,65,573.4477473539628,8,12,12,1.0,492
493,66,450.62191800496066,8,8,39,0.0,493
494,90,426.30983427723055,9,8,36,0.0,494
495,60,158.5376527658341,15,10,30,1.0,495
496,54,466.2111972577701,6,14,11,1.0,496
497,73,185.1224629069451,11,13,37,0.0,497
498,66,353.8782579071949,10,6,36,1.0,498
499,51,402.4134763230801,8,14,10,1.0,499
500,84,435.1999413093461,8,6,39,1.0,500
501,84,649.4761129860592,6,13,16,1.0,501
502,61,420.7387315003062,8,10,32,1.0,502
503,80,372.77598133958395,9,5,37,0.0,503
504,48,299.79337621977925,14,8,29,1.0,504
505,60,722.4289663675318,7,12,12,0.0,505
506,59,417.49035188198235,6,12,10,0.0,506
507,46,469.76698636914574,16,8,23,1.0,507
508,65,681.1663391226583,7,14,11,0.0,508
509,66,365.4080035626599,12,5,40,1.0,509
510,67,455.6772936205633,7,13,10,1.0,510
511,74,390.56532816252786,10,7,39,1.0,511
512,62,355.67482368742225,8,12,10,0.0,512
513,45,132.50571579225408,13,7,26,1.0,513
514,49,164.68556773142697,17,10,26,1.0,514
515,82,251.70106541649082,11,6,37,1.0,515
516,80,407.0466419656411,12,7,34,1.0,516
517,65,576.0769517189499,12,7,41,1.0,517
518,55,225.4647426798466,15,8,30,0.0,518
519,72,768.2293852659213,7,11,11,1.0,519
520,51,777.9048753781517,7,14,9,1.0,520
521,60,579.8632563741505,17,7,23,0.0,521
522,58,720.4057399913986,5,12,10,0.0,522
523,80,338.2742699908831,11,4,36,1.0,523
524,57,345.6151163912853,8,11,9,0.0,524
525,61,438.7211785655825,8,3,38,0.0,525
526,61,433.75390752924454,13,6,31,0.0,526
527,75,576.4881258837017,12,7,36,0.0,527
528,77,648.0356149635916,8,6,37,1.0,528
529,55,558.9970802144724,6,14,15,1.0,529
530,71,479.1499752094943,4,12,15,1.0,530
531,41,201.09183866257084,14,7,28,1.0,531
532,74,162.35191416051165,8,6,38,1.0,532
533,62,409.4657093195508,10,5,34,0.0,533
534,48,382.2041466842719,16,9,23,1.0,534
535,65,714.2198551105248,8,11,11,1.0,535
536,66,407.24271426747225,9,4,34,0.0,536
537,61,759.0694908463677,6,14,13,1.0,537
538,85,467.7609035200034,10,4,33,0.0,538
539,49,521.7647567283307,18,11,29,0.0,539
540,83,232.66785005579607,10,6,35,1.0,540
541,63,579.1147038481342,13,5,35,1.0,541
542,70,640.8204886774856,4,11,18,0.0,542
543,89,243.41418589478195,12,5,38,0.0,543
544,51,402.9841434915453,13,12,12,0.0,544
545,67,613.9853033316684,9,4,39,1.0,545
546,60,125.7855266206827,16,7,27,0.0,546
547,52,336.64212221489595,13,8,32,0.0,547
548,68,463.6028920677098,5,15,15,1.0,548
549,58,635.8879455992297,3,10,7,1.0,549
550,55,521.4183999088061,13,7,29,1.0,550
551,73,336.58527956271905,11,4,37,0.0,551
552,86,369.18202278819024,8,8,35,1.0,552
553,67,791.139714405693,4,14,9,0.0,553
554,58,494.11908974280936,16,10,28,1.0,554
555,60,749.6300241565777,6,14,12,1.0,555
556,60,524.9934881192986,5,13,16,0.0,556
557,50,224.69733995221645,16,7,26,0.0,557
558,58,311.8130980393613,12,9,24,1.0,558
559,50,460.8850397374416,13,12,28,1.0,559
560,57,163.62089836962986,20,9,25,0.0,560
561,75,242.52986175208932,17,9,25,0.0,561
562,73,332.85159122617927,6,13,11,0.0,562
563,51,321.85039178568445,11,8,25,1.0,563
564,77,715.4484106300105,5,12,11,0.0,564
565,60,322.0852072660253,9,15,10,1.0,565
566,41,440.90852813551135,17,7,26,0.0,566
567,44,566.9229785117325,13,14,31,0.0,567
568,41,226.0946521404793,17,12,25,1.0,568
569,51,449.8810719565476,12,12,28,0.0,569
570,75,637.7999315390982,10,8,33,0.0,570
571,91,631.5162494747069,7,8,39,0.0,571
572,58,225.1153045842802,14,10,25,1.0,572
573,62,359.16221607391367,7,11,7,0.0,573
574,63,182.65844356899882,13,8,27,0.0,574
575,41,453.99747755624963,14,8,28,1.0,575
576,67,665.621848972105,7,12,10,1.0,576
577,82,490.3759151978175,7,5,40,0.0,577
578,61,324.6784099936966,10,6,35,1.0,578
579,86,243.19070048147984,11,7,35,0.0,579
580,68,594.572935056604,4,13,19,1.0,580
